cust_id,lookalikes
C0001,"[('C0181', 0.9846638087916777), ('C0192', 0.9578613861961705), ('C0190', 0.9551754489662282)]"
C0002,"[('C0088', 0.9849241779101627), ('C0106', 0.9660425349160728), ('C0134', 0.9654074083968538)]"
C0003,"[('C0025', 0.9817697858240336), ('C0031', 0.9755673506456772), ('C0052', 0.971321444576704)]"
C0004,"[('C0165', 0.9723693639928706), ('C0153', 0.939533410636538), ('C0087', 0.9317476581470648)]"
C0005,"[('C0186', 0.99249896689739), ('C0140', 0.9915920042784373), ('C0146', 0.966102048965234)]"
C0006,"[('C0171', 0.9674555433612385), ('C0011', 0.9580594991395125), ('C0187', 0.949068981419368)]"
C0007,"[('C0146', 0.9898630975011139), ('C0115', 0.9852566353134471), ('C0186', 0.9821777036296148)]"
C0008,"[('C0065', 0.8967293870903984), ('C0059', 0.7968385222585187), ('C0160', 0.7837386658996899)]"
C0009,"[('C0061', 0.9804593647115539), ('C0198', 0.9620569979811632), ('C0062', 0.9293233172332359)]"
C0010,"[('C0111', 0.9851263285425672), ('C0062', 0.9586147819871895), ('C0198', 0.8976038923878649)]"
C0011,"[('C0137', 0.9959307490534801), ('C0191', 0.9856202168198538), ('C0118', 0.9754899781905612)]"
C0012,"[('C0163', 0.9795382593884334), ('C0113', 0.9642908730955158), ('C0195', 0.9521266011530908)]"
C0013,"[('C0099', 0.9886749591039283), ('C0108', 0.9452901183786616), ('C0107', 0.8756215231362551)]"
C0014,"[('C0060', 0.9536753048680596), ('C0166', 0.8652157286142012), ('C0172', 0.7882838254539558)]"
C0015,"[('C0131', 0.9739062221404315), ('C0185', 0.9198025876824227), ('C0125', 0.9133374056371437)]"
C0016,"[('C0042', 0.9432054723380238), ('C0183', 0.9224342719775434), ('C0067', 0.8879082103053296)]"
C0017,"[('C0075', 0.9816745140612196), ('C0041', 0.9506807713024755), ('C0057', 0.9412371271894929)]"
C0018,"[('C0117', 0.949235905277497), ('C0122', 0.9316992835825663), ('C0194', 0.9316800810763534)]"
C0019,"[('C0081', 0.9633671542007713), ('C0070', 0.9042724154940947), ('C0057', 0.8835570578065083)]"
C0020,"[('C0050', 0.862114456188075), ('C0035', 0.8594574085466342), ('C0026', 0.8532137088495099)]"
